city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,sample_n,effective_n,shrinkage_city_weight
Curitiba,South,core,2024-10-01,2 adults + 2 children,2.1,1422.2555063836548,2514.0389097343923,0.0,244.6142089621613,876.1890497276526,737.4451462757589,0.0,323.6281018535853,263.47637969653925,6381.647302633744,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2024-11-01,2 adults + 2 children,2.1,1439.7492491121736,2485.127462272447,0.0,245.6905114815948,883.3737999354192,736.1914895270901,0.0,324.048818385995,263.1338604029337,6377.315191117653,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2024-12-01,2 adults + 2 children,2.1,1447.811844907202,2486.6185387498103,0.0,248.19655469870708,884.6988606353225,743.9215001671245,0.0,324.24324767702655,264.58109663514983,6400.071643470343,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-01-01,2 adults + 2 children,2.1,1457.6569654525706,2397.100271354817,0.0,250.1821271362967,890.0070537991346,749.500911418378,0.0,324.9241584971483,263.6815209065903,6333.053008564935,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-02-01,2 adults + 2 children,2.1,1477.3353344861805,2483.3958811235907,0.0,251.4330377719782,904.8701715975799,751.8993143349168,0.0,342.1126464816474,263.8397298191343,6474.886115615028,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-03-01,2 adults + 2 children,2.1,1497.1316279682953,2492.83278547186,0.0,255.58168289521583,913.9188733135558,750.9218452262816,0.0,342.72844924531444,265.29084833313954,6518.406112453663,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-04-01,2 adults + 2 children,2.1,1509.1086809920419,2495.824184814427,0.0,257.5241036852195,908.9837113976625,760.7589213987459,0.0,343.0711776945597,267.5988787136379,6542.869658696294,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-05-01,2 adults + 2 children,2.1,1511.8250766178276,2521.2815914995335,0.0,258.5542000999604,907.6202358305662,767.1492963384952,0.0,343.4485559900237,268.40167534977877,6578.280631726186,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-06-01,2 adults + 2 children,2.1,1507.5919664032976,2556.3274056213772,0.0,259.38157354028027,904.8973751230744,766.4588619717905,0.0,343.4829008456227,268.83111803033836,6606.971201535781,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-07-01,2 adults + 2 children,2.1,1513.4715750722708,2568.342144427798,0.0,258.78499592113764,906.7071698733206,769.6013433058749,0.0,343.379855975369,268.48163757689895,6628.768722152669,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-08-01,2 adults + 2 children,2.1,1505.6015228818947,2550.8774178456883,0.0,257.36167844357135,906.8885113072952,775.4503135149996,0.0,345.85219093839174,267.64934450041056,6609.680979432252,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-09-01,2 adults + 2 children,2.1,1497.9229551151968,2626.6384771557055,0.0,260.6044355919604,904.9840454335498,778.3194796750051,0.0,346.26721356751784,267.24787048365994,6681.9844770225955,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-10-01,2 adults + 2 children,2.1,1503.1656854581001,2603.7867224044508,0.0,262.1941226490713,903.4455725563126,778.9421352587451,0.0,346.4403471743016,266.6064755944992,6664.58106109548,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-11-01,2 adults + 2 children,2.1,1503.4663185951918,2608.473538504779,0.0,264.0294815076148,905.4331528159365,778.9421352587451,0.0,346.47499120901904,265.939959405513,6672.759577296799,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2025-12-01,2 adults + 2 children,2.1,1491.5889346782897,2596.996254935358,0.0,262.65652820377517,908.4210822202291,782.2136922268319,0.0,346.7175237028653,266.89734325937286,6655.491359226722,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-01-01,2 adults + 2 children,2.1,1496.9586548431316,2606.085741827632,0.0,265.4406874027352,911.691398116222,788.8625086107598,0.0,346.61350844575446,270.04673190983345,6685.699231156068,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-02-01,2 adults + 2 children,2.1,1494.8629127263514,2603.7402646599867,0.0,263.21098562855224,911.9649055356568,793.7534561641465,0.0,365.6772514102709,271.55899360852857,6704.768769733493,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-03-01,2 adults + 2 children,2.1,1519.3786644950635,2595.929043866007,0.0,265.3429946121435,919.71660723271,797.0078453344196,0.0,365.3847096091427,272.40082648871504,6735.160691638202,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-04-01,2 adults + 2 children,2.1,1539.890276465747,2601.1209019537387,0.0,267.9698902588038,924.4071619295969,802.5071994672269,0.0,365.67701737683,274.71623351386904,6776.288680965812,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-05-01,2 adults + 2 children,2.1,1556.82906950687,2636.756258310505,0.0,272.76655129443634,911.4654616625825,803.6307095464811,0.0,365.4210434646662,275.0458929940857,6821.914986779627,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,core,2026-06-01,2 adults + 2 children,2.1,1555.5836062512644,2670.2430627910485,0.0,273.99400077526127,916.3873751555606,806.9255954556216,0.0,365.6768381950914,275.1009021726845,6863.911380796532,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-01-01,2 adults + 2 children,2.1,956.8151465804301,1929.3011414927319,156.39524451721698,179.0012158057557,748.5960268127926,540.7813005231619,27.082712039198945,258.57681484649663,238.15867837772205,5034.708280995506,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-02-01,2 adults + 2 children,2.1,956.1453759778237,1918.4970551003723,156.83315120186515,179.0191159273363,743.8798718438719,546.7839729589691,27.172084988928304,266.0238271140757,238.30157358474864,5032.656028697991,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-03-01,2 adults + 2 children,2.1,971.7305456062622,1913.3171130516012,155.18640311424556,179.84260386060203,740.4580244333902,546.1825105887142,27.04437618948034,269.21611303944456,237.30070697569272,5040.278396859433,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-04-01,2 adults + 2 children,2.1,976.4920252797328,1910.2558056707185,150.94981430922667,179.3030760490202,709.5068790120744,541.4853409976513,26.998400749958222,269.72762365421954,237.8702286724344,5002.589194395036,90.0,72.44947043839824,0.4752359600204293
Curitiba,South,expanded,2020-05-01,2 adults + 2 children,2.1,975.3202348493973,1910.6378568318528,151.31209386356878,179.51823974027906,692.4077632278834,541.5936380658509,26.982201709508242,269.70065089185414,238.67898744992067,4986.151666630115,90.0,72.44947043839824,0.4752359600204293
