city,region,variant,date,household_type,adult_equivalents,g1_food,g2_housing,g3_household_articles,g4_clothing,g5_transport,g6_health_personal,g7_personal_expenses,g8_education,g9_communication,omal_total,one_worker_required_income,two_worker_required_income_each,sample_n,effective_n,shrinkage_city_weight,statutory_minimum,multiple_of_minimum_one_worker,multiple_of_minimum_two_workers_each,dieese_family_benchmark,ratio_to_dieese_family,pnad_quarter,labour_income_real
Aracaju,Northeast,expanded,2026-06-01,1 adult + 2 children,1.6,1294.8633389296779,1430.6479696856622,205.2676651256721,237.60845358481959,690.2745336822475,841.6865591393951,7.158863592349274,376.5225266197701,146.44032193798722,5230.470232297581,5230.470232297581,2615.2351161487904,60.0,49.98700892776219,0.3845538822694314,1621.0,3.2266935424414442,1.6133467712207221,8110.92,0.6448676885356508,2026Q1,4747.0
Aracaju,Northeast,expanded,2026-06-01,2 adults,1.5,1213.934380246573,1341.2324715803086,192.43843605531762,222.75792523576837,647.1323753271071,789.0811491931829,6.711434617827445,352.9898687060345,137.287801816863,4903.565842778982,4903.565842778982,2451.782921389491,60.0,49.98700892776219,0.3845538822694314,1621.0,3.025025196038854,1.512512598019427,8110.92,0.6045634580021726,2026Q1,4747.0
Aracaju,Northeast,expanded,2026-06-01,2 adults + 1 child,1.8,1456.7212562958875,1609.47896589637,230.92612326638113,267.309510282922,776.5588503925285,946.8973790318194,8.053721541392934,423.5878424472413,164.74536218023562,5884.279011334778,5884.279011334778,2942.139505667389,60.0,49.98700892776219,0.3845538822694314,1621.0,3.6300302352466245,1.8150151176233122,8110.92,0.7254761496026071,2026Q1,4747.0
Aracaju,Northeast,expanded,2026-06-01,2 adults + 2 children,2.1,1699.5081323452023,1877.725460212432,269.41381047744466,311.8610953300757,905.9853254579499,1104.713608870456,9.396008464958422,494.18581618844826,192.20292254360822,6864.992179890575,6864.992179890575,3432.4960899452876,60.0,49.98700892776219,0.3845538822694314,1621.0,4.235035274454396,2.117517637227198,8110.92,0.8463888412030417,2026Q1,4747.0
Campo Grande,Center-West,core,2026-06-01,1 adult,1.0,819.1402516459632,1084.2978155265437,0.0,173.94460490429807,413.84475196995413,385.2185794549522,0.0,150.62803714112118,82.0588978413716,3109.132938484204,3109.132938484204,1554.566469242102,87.0,81.39027877328691,0.5043071949062059,1621.0,1.9180338917237532,0.9590169458618766,8110.92,0.3833267913484788,2026Q1,4304.0
Campo Grande,Center-West,core,2026-06-01,1 adult + 1 child,1.3,1064.882327139752,1409.5871601845067,0.0,226.1279863755875,537.9981775609405,500.7841532914379,0.0,195.81644828345756,106.6765671937831,4041.8728200294654,4041.8728200294654,2020.9364100147327,87.0,81.39027877328691,0.5043071949062059,1621.0,2.4934440592408795,1.2467220296204398,8110.92,0.49832482875302253,2026Q1,4304.0
Campo Grande,Center-West,core,2026-06-01,1 adult + 2 children,1.6,1310.624402633541,1734.8765048424698,0.0,278.3113678468769,662.1516031519267,616.3497271279235,0.0,241.00485942579388,131.29423654619458,4974.612701574726,4974.612701574726,2487.306350787363,87.0,81.39027877328691,0.5043071949062059,1621.0,3.068854226758005,1.5344271133790024,8110.92,0.6133228661575661,2026Q1,4304.0
Campo Grande,Center-West,core,2026-06-01,2 adults,1.5,1228.710377468945,1626.4467232898155,0.0,260.91690735644715,620.7671279549313,577.8278691824283,0.0,225.9420557116818,123.08834676205743,4663.699407726306,4663.699407726306,2331.849703863153,87.0,81.39027877328691,0.5043071949062059,1621.0,2.87705083758563,1.438525418792815,8110.92,0.5749901870227183,2026Q1,4304.0
Campo Grande,Center-West,core,2026-06-01,2 adults + 1 child,1.8,1474.4524529627336,1951.7360679477783,0.0,313.1002888277365,744.9205535459174,693.393443018914,0.0,271.13046685401815,147.7060161144689,5596.439289271567,5596.439289271567,2798.2196446357834,87.0,81.39027877328691,0.5043071949062059,1621.0,3.4524610051027556,1.7262305025513778,8110.92,0.6899882244272618,2026Q1,4304.0
Campo Grande,Center-West,core,2026-06-01,2 adults + 2 children,2.1,1720.1945284565227,2277.0254126057416,0.0,365.28367029902597,869.0739791369037,808.9590168553997,0.0,316.3188779963545,172.3236854668804,6529.179170816828,6529.179170816828,3264.589585408414,87.0,81.39027877328691,0.5043071949062059,1621.0,4.027871172619882,2.013935586309941,8110.92,0.8049862618318055,2026Q1,4304.0
