	Salário mínimo - paridade do poder de compra (PPC) (GAC12_SALMINDOL12)
Frequência: Mensal de 1940.07 até 2026.05
Fonte: Instituto de Pesquisa Econômica Aplicada
Unidade: US$
Comentário: Representa, em cada mês, qual era o preço nos Estados Unidos da mesma cesta de bens que se podia adquirir com um salário mínimo no Brasil. Nota: A conversão é feita pela taxa de paridade de poder de compra (PPC) observada pelo Banco Mundial em 2011, corrigida pela inflação ao consumidor nos Estados Unidos e no Brasil. Para a inflação americana, utiliza-se o IPC do Bureau of Labor Statistics (BLS). Para a inflação brasileira, INPC/IBGE (a partir de março de 1979), IGPC-Mtb (jan/1948-mar/1979), IPC-RJ/FGV (jan/1944-jan/1948) e IPC-SP/Fipe (jul/1940-jan/1944). O salário mínimo urbano foi instituído no Brasil por decreto-lei do presidente Getúlio Vargas, durante a ditadura do Estado Novo, e começou a vigorar em julho de 1940, com valores diferenciados entre estados e sub-regiões. Em 1943, foi incorporado à Consolidação das Leis do Trabalho (CLT) e, em 1963, foi estendido ao campo por meio do Estatuto do Trabalhador Rural. Foi nacionalmente unificado em maio de 1984, mas, desde 2000, a Lei Complementar 103 permite que os estados fixem pisos estaduais superiores ao mínimo nacional. Os dados desta série para o período em que a legislação federal definia faixas diversificadas referem-se sempre ao maior salário mínimo vigente no país. Quanto ao período anterior à unificação, ver arquivo listado em mais informações.Mais informações: Determinação da taxa de câmbio: textes empíricos para o Brasil.
Atualizado em: 10/07/2026



The Ipeadata - http://www.ipeadata.gov.br chart showing Salário mínimo - paridade do poder de compra (PPC) series.
 

Data	 (Ascending)
Salário mínimo - paridade do poder de compra (PPC)	 
1970.01	37,68
1970.02	37,42
1970.03	36,80
1970.04	36,72
1970.05	43,51
1970.06	43,03
1970.07	42,43
1970.08	41,39
1970.09	40,85
1970.10	40,56
1970.11	40,26
1970.12	40,11
1971.01	39,33
1971.02	38,94
1971.03	38,43
1971.04	38,04
1971.05	45,37
1971.06	44,67
1971.07	43,98
1971.08	43,55
1971.09	43,01
1971.10	42,53
1971.11	41,91
1971.12	41,64
1972.01	40,67
1972.02	40,11
1972.03	39,51
1972.04	39,22
1972.05	46,49
1972.06	46,15
1972.07	45,81
1972.08	45,44
1972.09	44,58
1972.10	44,24
1972.11	43,91
1972.12	43,67
1973.01	43,19
1973.02	43,26
1973.03	43,31
1973.04	43,13
1973.05	49,87
1973.06	49,45
1973.07	48,78
1973.08	48,81
1973.09	48,16
1973.10	48,38
1973.11	48,44
1973.12	48,41
1974.01	48,20
1974.02	48,77
1974.03	47,71
1974.04	45,15
1974.05	53,64
1974.06	53,29
1974.07	52,63
1974.08	52,20
1974.09	52,01
1974.10	51,43
1974.11	50,70
1974.12	55,07
1975.01	53,63
1975.02	52,85
1975.03	52,23
1975.04	51,30
1975.05	65,40
1975.06	64,30
1975.07	63,56
1975.08	61,28
1975.09	60,43
1975.10	59,44
1975.11	58,61
1975.12	57,83
1976.01	56,05
1976.02	53,68
1976.03	52,35
1976.04	50,96
1976.05	70,94
1976.06	69,86
1976.07	68,41
1976.08	67,04
1976.09	65,39
1976.10	63,89
1976.11	61,96
1976.12	60,85
1977.01	58,73
1977.02	57,26
1977.03	55,85
1977.04	54,28
1977.05	75,47
1977.06	74,39
1977.07	72,93
1977.08	71,99
1977.09	71,09
1977.10	69,44
1977.11	67,44
1977.12	66,09
1978.01	64,13
1978.02	62,54
1978.03	61,06
1978.04	60,00
1978.05	83,28
1978.06	81,42
1978.07	77,76
1978.08	75,81
1978.09	74,83
1978.10	73,44
1978.11	72,18
1978.12	71,04
1979.01	67,72
1979.02	66,61
1979.03	65,04
1979.04	63,59
1979.05	92,01
1979.06	90,33
1979.07	86,69
1979.08	82,73
1979.09	78,44
1979.10	75,26
1979.11	92,58
1979.12	89,52
1980.01	85,21
1980.02	82,98
1980.03	80,13
1980.04	77,28
1980.05	104,64
1980.06	100,25
1980.07	95,01
1980.08	91,02
1980.09	87,87
1980.10	80,90
1980.11	105,34
1980.12	99,55
1981.01	94,49
1981.02	90,02
1981.03	86,03
1981.04	81,30
1981.05	113,55
1981.06	109,04
1981.07	103,80
1981.08	98,56
1981.09	94,53
1981.10	90,55
1981.11	121,64
1981.12	115,46
1982.01	108,55
1982.02	102,17
1982.03	96,98
1982.04	92,19
1982.05	121,48
1982.06	114,80
1982.07	108,46
1982.08	102,95
1982.09	98,91
1982.10	95,48
1982.11	128,46
1982.12	118,26
1983.01	108,57
1983.02	100,59
1983.03	93,82
1983.04	88,67
1983.05	123,35
1983.06	111,63
1983.07	100,59
1983.08	91,85
1983.09	82,95
1983.10	75,57
1983.11	115,83
1983.12	107,02
1984.01	98,41
1984.02	90,12
1984.03	82,21
1984.04	75,43
1984.05	118,38
1984.06	107,97
1984.07	99,34
1984.08	91,85
1984.09	83,07
1984.10	75,39
1984.11	117,13
1984.12	104,94
1985.01	94,01
1985.02	85,13
1985.03	77,72
1985.04	71,92
1985.05	134,67
1985.06	124,66
1985.07	113,46
1985.08	101,84
1985.09	92,77
1985.10	84,45
1985.11	133,58
1985.12	115,73
1986.01	100,90
1986.02	89,47
1986.03	115,67
1986.04	114,96
1986.05	114,05
1986.06	113,58
1986.07	112,56
1986.08	111,17
1986.09	110,37
1986.10	108,91
1986.11	105,54
1986.12	98,48
1987.01	101,80
1987.02	89,67
1987.03	111,63
1987.04	92,79
1987.05	90,74
1987.06	90,08
1987.07	82,16
1987.08	78,60
1987.09	89,83
1987.10	89,35
1987.11	88,43
1987.12	93,10
1988.01	98,08
1988.02	99,62
1988.03	100,13
1988.04	98,96
1988.05	100,78
1988.06	98,50
1988.07	96,51
1988.08	100,40
1988.09	97,08
1988.10	96,11
1988.11	97,55
1988.12	99,85
1989.01	99,63
1989.02	101,05
1989.03	95,97
1989.04	89,39
1989.05	98,15
1989.06	112,09
1989.07	110,10
1989.08	106,62
1989.09	101,46
1989.10	112,42
1989.11	110,82
1989.12	103,76
1990.01	101,53
1990.02	91,53
1990.03	92,59
1990.04	80,87
1990.05	75,54
1990.06	71,43
1990.07	80,95
1990.08	77,26
1990.09	79,36
1990.10	74,02
1990.11	82,26
1990.12	73,25
1991.01	84,97
1991.02	91,30
1991.03	87,48
1991.04	83,43
1991.05	78,44
1991.06	70,98
1991.07	63,39
1991.08	54,99
1991.09	118,01
1991.10	97,61
1991.11	77,40
1991.12	62,39
1992.01	113,46
1992.02	91,47
1992.03	75,59
1992.04	62,65
1992.05	120,68
1992.06	100,22
1992.07	82,27
1992.08	67,41
1992.09	123,80
1992.10	98,55
1992.11	80,30
1992.12	63,90
1993.01	119,44
1993.02	96,05
1993.03	103,26
1993.04	80,66
1993.05	123,12
1993.06	94,57
1993.07	101,39
1993.08	90,95
1993.09	116,63
1993.10	109,30
1993.11	100,47
1993.12	91,11
1994.01	113,31
1994.02	105,35
1994.03	86,77
1994.04	86,49
1994.05	87,22
1994.06	84,71
1994.07	77,36
1994.08	93,79
1994.09	100,20
1994.10	97,51
1994.11	94,84
1994.12	93,25
1995.01	92,30
1995.02	91,74
1995.03	90,57
1995.04	88,67
1995.05	124,31
1995.06	121,89
1995.07	118,97
1995.08	118,07
1995.09	116,94
1995.10	115,70
1995.11	113,90
1995.12	111,98
1996.01	111,02
1996.02	110,59
1996.03	110,84
1996.04	110,24
1996.05	122,15
1996.06	120,62
1996.07	119,42
1996.08	119,05
1996.09	119,41
1996.10	119,33
1996.11	119,15
1996.12	118,76
1997.01	118,18
1997.02	118,02
1997.03	117,52
1997.04	116,96
1997.05	125,10
1997.06	124,82
1997.07	124,75
1997.08	125,02
1997.09	125,21
1997.10	125,15
1997.11	124,89
1997.12	124,03
1998.01	123,21
1998.02	123,00
1998.03	122,41
1998.04	122,08
1998.05	131,55
1998.06	131,52
1998.07	132,05
1998.08	132,86
1998.09	133,44
1998.10	133,62
1998.11	133,86
1998.12	133,22
1999.01	132,68
1999.02	131,15
1999.03	129,88
1999.04	130,22
1999.05	136,16
1999.06	136,06
1999.07	135,47
1999.08	135,05
1999.09	135,17
1999.10	134,13
1999.11	132,96
1999.12	131,98
2000.01	131,57
2000.02	132,28
2000.03	133,20
2000.04	147,85
2000.05	148,09
2000.06	148,42
2000.07	146,73
2000.08	144,97
2000.09	145,11
2000.10	145,12
2000.11	144,79
2000.12	143,91
2001.01	143,72
2001.02	143,59
2001.03	143,23
2001.04	169,98
2001.05	169,78
2001.06	169,06
2001.07	166,73
2001.08	165,42
2001.09	165,44
2001.10	163,35
2001.11	161,00
2001.12	159,18
2002.01	157,86
2002.02	157,99
2002.03	157,90
2002.04	175,23
2002.05	175,08
2002.06	174,11
2002.07	172,32
2002.08	171,42
2002.09	170,29
2002.10	167,94
2002.11	162,43
2002.12	157,81
2003.01	154,69
2003.02	153,64
2003.03	152,47
2003.04	180,09
2003.05	178,03
2003.06	178,33
2003.07	178,45
2003.08	178,81
2003.09	177,93
2003.10	177,05
2003.11	175,92
2003.12	174,79
2004.01	174,19
2004.02	174,45
2004.03	174,58
2004.04	174,43
2004.05	189,31
2004.06	188,97
2004.07	187,30
2004.08	186,47
2004.09	186,55
2004.10	187,21
2004.11	186,49
2004.12	184,22
2005.01	183,56
2005.02	183,81
2005.03	183,90
2005.04	183,47
2005.05	210,01
2005.06	210,35
2005.07	211,26
2005.08	212,34
2005.09	214,61
2005.10	213,81
2005.11	210,95
2005.12	209,26
2006.01	210,06
2006.02	210,00
2006.03	210,59
2006.04	247,48
2006.05	248,39
2006.06	249,05
2006.07	249,52
2006.08	250,06
2006.09	248,43
2006.10	246,03
2006.11	244,63
2006.12	243,49
2007.01	243,04
2007.02	243,32
2007.03	244,46
2007.04	266,45
2007.05	267,38
2007.06	267,07
2007.07	266,15
2007.08	264,10
2007.09	264,17
2007.10	263,94
2007.11	264,37
2007.12	261,66
2008.01	261,16
2008.02	260,67
2008.03	285,68
2008.04	285,59
2008.05	285,26
2008.06	285,53
2008.07	285,38
2008.08	283,64
2008.09	282,83
2008.10	278,58
2008.11	272,21
2008.12	268,61
2009.01	268,07
2009.02	300,92
2009.03	301,05
2009.04	300,15
2009.05	299,23
2009.06	300,53
2009.07	299,37
2009.08	299,80
2009.09	299,51
2009.10	299,08
2009.11	298,19
2009.12	296,95
2010.01	323,95
2010.02	321,78
2010.03	320,82
2010.04	319,05
2010.05	317,93
2010.06	317,97
2010.07	318,26
2010.08	318,92
2010.09	317,39
2010.10	314,89
2010.11	311,81
2010.12	310,48
2011.01	327,24
2011.02	327,08
2011.03	331,15
2011.04	330,90
2011.05	330,57
2011.06	329,49
2011.07	329,78
2011.08	329,31
2011.09	328,33
2011.10	326,61
2011.11	324,48
2011.12	322,04
2012.01	367,28
2012.02	367,47
2012.03	369,59
2012.04	368,35
2012.05	365,91
2012.06	364,43
2012.07	362,27
2012.08	362,66
2012.09	361,99
2012.10	359,30
2012.11	355,68
2012.12	352,12
2013.01	381,44
2013.02	382,58
2013.03	381,29
2013.04	378,66
2013.05	378,01
2013.06	377,86
2013.07	378,50
2013.08	378,35
2013.09	377,77
2013.10	374,51
2013.11	371,74
2013.12	369,05
2014.01	393,08
2014.02	392,03
2014.03	391,34
2014.04	389,59
2014.05	388,62
2014.06	388,34
2014.07	387,68
2014.08	386,34
2014.09	384,74
2014.10	382,32
2014.11	378,25
2014.12	373,79
2015.01	399,02
2015.02	396,15
2015.03	392,58
2015.04	390,61
2015.05	388,75
2015.06	387,13
2015.07	384,92
2015.08	383,42
2015.09	380,88
2015.10	377,80
2015.11	372,86
2015.12	368,28
