city,region,variant,date,household_type,adult_equivalents,food,housing,other,omal_total,sample_n,effective_n,shrinkage_city_weight
Rio de Janeiro,Southeast,expanded,2024-10-01,2 adults + 2 children,2.1,1482.3353500059425,3094.530027817788,2001.5203425352831,6578.385720359013,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2024-11-01,2 adults + 2 children,2.1,1507.2385838860423,3049.968795417212,2011.3277922137058,6568.53517151696,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2024-12-01,2 adults + 2 children,2.1,1526.2297900430065,3049.968795417212,2022.9934934085454,6599.192078868764,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-01-01,2 adults + 2 children,2.1,1538.4396283633505,2954.5047721206533,2024.20728950459,6517.151689988595,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-02-01,2 adults + 2 children,2.1,1549.5163936875665,3088.6392887749307,2052.5461915576543,6690.701874020151,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-03-01,2 adults + 2 children,2.1,1569.8150584448738,3083.6974659128905,2063.42468637291,6716.9372107306735,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-04-01,2 adults + 2 children,2.1,1576.8792262078755,3078.455180220839,2066.726165871107,6722.060572299821,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-05-01,2 adults + 2 children,2.1,1579.2445450471878,3113.857414793378,2071.0662908194363,6764.168250660002,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-06-01,2 adults + 2 children,2.1,1567.5581354138385,3128.803930384386,2072.7231438520917,6769.085209650317,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-07-01,2 adults + 2 children,2.1,1564.7365307700939,3140.0676245337695,2077.6976793973367,6782.501834701201,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-08-01,2 adults + 2 children,2.1,1554.7222169731651,3088.8845222538694,2070.633507287386,6714.2402465144205,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-09-01,2 adults + 2 children,2.1,1544.461050341142,3194.215484462726,2080.5725481223653,6819.249082926233,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-10-01,2 adults + 2 children,2.1,1544.461050341142,3158.1208494882976,2079.3242045934917,6781.906104422931,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-11-01,2 adults + 2 children,2.1,1541.835466555562,3165.068715357172,2081.819393639004,6788.723575551738,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2025-12-01,2 adults + 2 children,2.1,1552.9366819147626,3162.853167256422,2092.644854485927,6808.434703657111,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-01-01,2 adults + 2 children,2.1,1554.3343249284858,3163.8020232065987,2098.922789049385,6817.059137184469,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-02-01,2 adults + 2 children,2.1,1551.0702228461357,3191.3271008084957,2114.45481768835,6856.852141342982,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-03-01,2 adults + 2 children,2.1,1572.0096708545586,3223.5595045266614,2130.9475652663195,6926.516740647539,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-04-01,2 adults + 2 children,2.1,1587.2581646618478,3277.3929482522562,2146.503482492764,7011.154595406868,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-05-01,2 adults + 2 children,2.1,1597.892794365082,3314.755227862332,2157.8799509499754,7070.52797317739,183,126.07387199876254,0.6117896984025205
Rio de Janeiro,Southeast,expanded,2026-06-01,2 adults + 2 children,2.1,1593.8980623791695,3382.3762345107234,2164.785166793016,7141.059463682908,183,126.07387199876254,0.6117896984025205
São Paulo,Southeast,core,2020-01-01,2 adults + 2 children,2.1,1012.6589489857413,2162.2511356264204,1587.6444052377772,4762.554489849939,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-02-01,2 adults + 2 children,2.1,1009.2159085591899,2160.088884490794,1591.2959873698242,4760.600780419808,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-03-01,2 adults + 2 children,2.1,1023.1430880973068,2162.8970000406316,1592.728153758457,4778.768241896395,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-04-01,2 adults + 2 children,2.1,1043.0943783152043,2145.1612446402987,1586.8350595895504,4775.090682545053,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-05-01,2 adults + 2 children,2.1,1042.8857594395413,2142.8015672711945,1582.3919214226996,4768.079248133436,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-06-01,2 adults + 2 children,2.1,1049.0387854202345,2143.658687898103,1586.9808579948253,4779.678331313163,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-07-01,2 adults + 2 children,2.1,1047.1505156064782,2164.880908908294,1590.7896120540127,4802.821036568785,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-08-01,2 adults + 2 children,2.1,1059.6116067421951,2183.2823966340143,1595.7210598513802,4838.615063227589,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-09-01,2 adults + 2 children,2.1,1078.2607710208579,2197.473732212135,1602.742232514726,4878.476735747719,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-10-01,2 adults + 2 children,2.1,1096.159899819804,2202.967416542665,1617.006638384107,4916.133954746576,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-11-01,2 adults + 2 children,2.1,1126.1946810748668,2213.7619568837235,1633.8235074233019,4973.780145381892,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2020-12-01,2 adults + 2 children,2.1,1140.4973535245176,2262.6860961308544,1651.6321836542154,5054.815633309588,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-01-01,2 adults + 2 children,2.1,1149.5072826173612,2240.0592351695454,1655.5961008949857,5045.162618681892,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-02-01,2 adults + 2 children,2.1,1156.9790799543741,2249.467483957257,1669.337548532414,5075.784112444046,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-03-01,2 adults + 2 children,2.1,1155.590705058429,2271.0623718032475,1681.8575801464071,5108.510657008084,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-04-01,2 adults + 2 children,2.1,1160.5597450901803,2268.564203194264,1684.2121807586122,5113.336129043057,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-05-01,2 adults + 2 children,2.1,1163.3450884783965,2305.7686561266496,1697.3490357685296,5166.462780373576,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-06-01,2 adults + 2 children,2.1,1169.0454794119403,2332.515572537719,1706.344985658103,5207.906037607762,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-07-01,2 adults + 2 children,2.1,1170.3314294392935,2426.0494469964815,1723.0671665175526,5319.448042953328,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-08-01,2 adults + 2 children,2.1,1196.546853458734,2440.363138733761,1740.9870650493347,5377.897057241829,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-09-01,2 adults + 2 children,2.1,1210.0678329028176,2497.7116724940047,1758.571034406333,5466.350539803155,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-10-01,2 adults + 2 children,2.1,1225.3146875973932,2524.6869585569393,1782.135886267378,5532.137532421711,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-11-01,2 adults + 2 children,2.1,1222.00633794088,2543.8745794419724,1797.4622548892776,5563.34317227213,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2021-12-01,2 adults + 2 children,2.1,1232.2711911795832,2564.225576077508,1810.0444906735024,5606.541257930594,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-01-01,2 adults + 2 children,2.1,1244.347448853143,2584.739380686128,1821.4477709647451,5650.534600504016,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-02-01,2 adults + 2 children,2.1,1257.661966555872,2604.641873917411,1840.5729725598749,5702.876813033157,147,121.3007986769722,0.6025847859233974
São Paulo,Southeast,core,2022-03-01,2 adults + 2 children,2.1,1290.235411489669,2629.125507532235,1867.4453379592492,5786.806256981154,147,121.3007986769722,0.6025847859233974
